Customer No.	Exposure at Default (in lakh Rs.)	 Recovery (%) 	Probability of Default
107	23.07	 0.12 	0.0059
108	19.76	 0.39 	0.005
109	22.17	 0.38 	0.0034
110	22.09	 0.02 	0.0065
111	2.04	 0.37 	0.0027
112	9.04	 0.00 	0.0005
113	18.03	 0.18 	0.0074
114	19.89	 0.39 	0.0025
115	14.7	 0.08 	0.003
116	21.6	 0.31 	0.0085
117	8.79	 0.25 	0.003
118	17.12	 0.04 	0.0085
119	11.24	 0.20 	0.01
120	24.29	 0.20 	0.0053
121	2.53	 0.03 	0.0067
122	9.78	 0.11 	0.0069
123	9.03	 0.25 	0.0014
124	21.77	 0.01 	0.0067
125	17.23	 0.09 	0.0021
126	21.67	 0.05 	0.0083
127	23.71	 0.15 	0.0002
128	9.94	 0.32 	0.0095
129	23.44	 0.11 	0.0079
130	4.53	 0.28 	0.0039
131	7.7	 0.37 	0.0014
132	18.7	 0.03 	0.005
133	3.7	 0.33 	0.0083
134	4.61	 0.04 	0.0008
135	12.01	 0.23 	0.0028
136	23.35	 0.37 	0.0099
137	6.95	 0.35 	0.0072
138	8.99	 0.29 	0.0073
139	4.43	 0.21 	0.0063
140	10.27	 0.07 	0.0041
141	22.71	 0.25 	0.0067
142	17.95	 0.38 	0.0006
143	20.48	 0.31 	0.0039
144	19.79	 0.34 	0.0042
145	12.04	 0.14 	0.003
146	6.02	 0.29 	0.0049
147	21.42	 0.21 	0.0062
148	6.41	 0.36 	0.008
149	2.91	 0.07 	0.0007
150	24.69	 0.08 	0.0062
151	20.65	 0.32 	0.0095
152	22.59	 0.11 	0.0028
153	7.85	 0.13 	0.0076
154	15.23	 0.07 	0.0035
155	17.09	 0.38 	0.0002
156	2.28	 0.10 	0.0062
157	18.73	 0.23 	0.0049
158	20.65	 0.13 	0.0042
159	4.31	 0.11 	0.0021
160	15.91	 0.24 	0.0023
161	17.97	 0.20 	0.0061
162	15.48	 0.07 	0.0016
163	18.75	 0.05 	0.0017
164	6.65	 0.27 	0.0047
165	15.94	 0.13 	0.0002
166	6.64	 0.30 	0
167	17.29	 0.35 	0.0092
168	21	 0.39 	0.0076
169	5.07	 0.27 	0.0091
170	2.62	 0.27 	0.0023
171	16.14	 0.23 	0.0064
172	1.96	 0.27 	0.003
173	10.48	 0.29 	0.0076
174	20.01	 0.36 	0.009
175	7.4	 0.26 	0.0067
176	23.68	 0.31 	0.0045
177	4.8	 0.36 	0.0096
178	7.34	 0.39 	0.0044
179	21.63	 0.25 	0.0092
180	6.29	 0.05 	0.0016
181	15.18	 0.15 	0.003
182	22.72	 0.02 	0.0002
183	13.28	 0.17 	0.0059
184	2.47	 0.31 	0.0046
185	18.02	 0.15 	0.0055
186	18.3	 0.37 	0.0054
187	10.47	 0.23 	0.0062
188	23.76	 0.00 	0.0017
189	9.02	 0.28 	0.0046
190	10.52	 0.29 	0.0057
191	16.75	 0.23 	0.0047
192	8.05	 0.29 	0.0016
193	23.17	 0.26 	0.0067
194	3.37	 0.11 	0.0055
195	8.79	 0.39 	0.0049
196	5.81	 0.03 	0.0075
197	21.12	 0.31 	0.0062
198	1.61	 0.15 	0.0066
199	5.69	 0.08 	0.003
200	13.74	 0.31 	0.0062
201	14.14	 0.05 	0.0039
202	18.39	 0.06 	0.0059
203	12.38	 0.07 	0.001
204	16.33	 0.21 	0.0009
205	14.06	 0.20 	0.0044
206	1.5	 0.15 	0.001
207	19.49	 0.20 	0.0099
208	11.41	 0.13 	0.003
209	21.18	 0.37 	0.0092
210	19.71	 0.19 	0.0054
211	3.62	 0.08 	0.0023
212	8.08	 0.16 	0.0058
213	14.72	 0.24 	0.008
214	15.17	 0.39 	0.0014
215	13.1	 0.13 	0.007
216	18.51	 0.35 	0.0097
217	9.59	 0.03 	0.0012
218	8.53	 0.33 	0.0017
219	10.46	 0.01 	0.0064
220	14.35	 0.03 	0.0093
221	7.34	 0.04 	0.0042
222	9.67	 0.04 	0.0059
223	10.57	 0.04 	0.0079
224	16.45	 0.20 	0.0078
225	22.45	 0.12 	0.0081
226	8.69	 0.19 	0.0089
227	14.71	 0.32 	0.002
228	11.3	 0.34 	0
229	9.45	 0.14 	0.004
230	19.75	 0.39 	0.0023
231	9.31	 0.35 	0.0013
232	1.87	 0.37 	0.0051
233	6.28	 0.14 	0.0048
234	23.05	 0.28 	0.0009
235	17.28	 0.18 	0.0022
236	2.98	 0.35 	0.0076
237	0.09	 0.34 	0.0057
238	2.34	 0.27 	0.0064
239	7.24	 0.26 	0.0008
240	14.18	 0.29 	0.0011
241	19.89	 0.28 	0.0056
242	4.61	 0.31 	0.0083
243	22.55	 0.20 	0.0039
244	14.7	 0.35 	0.0019
245	9.6	 0.05 	0.0037
246	1.51	 0.28 	0.0061
247	22.18	 0.18 	0.0006
248	19.02	 0.34 	0.0019
249	0.3	 0.35 	0.0018
250	2.17	 0.03 	0.0059
251	20.63	 0.37 	0.004
252	12.63	 0.25 	0.0007
253	23.51	 0.32 	0.0082
254	13.39	 0.07 	0.0004
255	12.51	 0.39 	0.0015
256	21.75	 0.02 	0.0093
257	2.08	 0.36 	0.0062
258	0.82	 0.16 	0.0031
259	9.8	 0.05 	0.0077
260	14.3	 0.37 	0.0013
261	23.06	 0.24 	0.0047
262	3.57	 0.14 	0.0036
263	0.52	 0.13 	0.0095
264	5.25	 0.25 	0.0038
265	5.03	 0.38 	0.0024
266	14.67	 0.38 	0.0027
267	20.59	 0.29 	0.005
268	22.42	 0.21 	0.0001
269	18.79	 0.27 	0.001
270	22.11	 0.31 	0.0043
271	2.55	 0.16 	0.0081
272	5.04	 0.10 	0.0026
273	2.31	 0.10 	0.0093
274	15.37	 0.32 	0.0004
275	21.05	 0.30 	0.0013
276	23	 0.31 	0.0051
277	14.81	 0.30 	0.0085
278	22.92	 0.38 	0.0067
279	16.32	 0.10 	0.0076
280	20.65	 0.26 	0.0012
281	6.99	 0.15 	0.0073
282	12.09	 0.08 	0.0089
283	18.62	 0.01 	0.0012
284	9.49	 0.21 	0.0077
285	10.81	 0.01 	0.0068
286	3.06	 0.03 	0.0046
287	7.65	 0.12 	0.0073
288	18.67	 0.34 	0.002
289	9.98	 0.19 	0.0058
290	11.76	 0.14 	0.0054
291	13.94	 0.26 	0.0039
292	9.54	 0.35 	0.0051
293	1.52	 0.38 	0.0019
294	13.13	 0.17 	0.0088
295	19.85	 0.32 	0.0089
296	9.46	 0.04 	0.0031
297	14.66	 0.08 	0.0061
298	6.46	 0.39 	0.0033
299	14.97	 0.34 	0.0092
300	3.22	 0.22 	0.0091
301	20.57	 0.24 	0.0064
302	17.22	 0.22 	0.0094
303	8.43	 0.21 	0.0054
304	10.55	 0.29 	0.001
305	21.27	 0.38 	0.0052
306	13.69	 0.15 	0.0059
307	12.25	 0.32 	0.0096
308	3.38	 0.10 	0.0063
309	1.66	 0.24 	0.0045
310	7.41	 0.03 	0.0084
311	6.07	 0.25 	0.0024
312	8.11	 0.02 	0.0002
313	20.6	 0.10 	0.0087
314	13.4	 0.17 	0.0096
315	18.16	 0.19 	0.006
316	10.29	 0.27 	0.0013
317	2.98	 0.24 	0.0025
318	13.91	 0.15 	0.0059
319	6.81	 0.34 	0.0003
320	5.88	 0.20 	0.002
321	14.15	 0.33 	0.0007
322	24.88	 0.32 	0.0059
323	12.32	 0.13 	0.0084
324	3.73	 0.04 	0.0066
325	5.62	 0.05 	0.0069
326	18.25	 0.01 	0.0056
327	6.13	 0.23 	0.0028
328	13.23	 0.11 	0.0076
329	19.28	 0.30 	0.0068
330	13.28	 0.07 	0.0063
331	3.84	 0.37 	0.0048
332	21.84	 0.14 	0.0092
333	17.91	 0.08 	0.0082
334	3.67	 0.14 	0.0085
335	19.08	 0.23 	0.0002
336	20.58	 0.38 	0.0065
337	0.99	 0.30 	0.0092
338	9.13	 0.39 	0.0033
339	24.23	 0.07 	0.0099
340	10.97	 0.40 	0.0085
341	20.23	 0.11 	0.0096
342	8.49	 0.20 	0.0046
343	21.12	 0.20 	0.0036
344	3.78	 0.04 	0.0011
345	16.1	 0.23 	0.0052
346	3.89	 0.14 	0.0047
347	9.09	 0.18 	0.0011
348	3.51	 0.30 	0.0076
349	15.73	 0.34 	0.001
350	1.62	 0.05 	0.0048
351	12.02	 0.15 	0.0027
352	18.82	 0.34 	0.0012
353	8.81	 0.09 	0.0083
354	16.97	 0.33 	0.0085
355	8.23	 0.07 	0.0017
356	4.61	 0.29 	0.0049
357	5.21	 0.35 	0.0077
358	21.55	 0.27 	0.0059
359	8.45	 0.08 	0.0035
360	10.16	 0.17 	0.0059
361	20.56	 0.11 	0.0085
362	12.55	 0.02 	0.0006
363	14.71	 0.07 	0.002
364	0.48	 0.19 	0.0065
365	15.17	 0.29 	0.0024
366	2.03	 0.25 	0.0024
367	2.59	 0.30 	0.0042
368	24.05	 0.14 	0.0068
369	14.22	 0.28 	0.0062
370	19.21	 0.28 	0.0035
371	18.31	 0.31 	0.0059
372	17.45	 0.21 	0.001
373	9.12	 0.32 	0.0091
374	1.31	 0.32 	0.0024
375	5.66	 0.39 	0.0081
376	15.01	 0.08 	0.0069
377	10.92	 0.15 	0.0062
378	3.05	 0.24 	0.007
379	0.39	 0.36 	0.0077
380	23.23	 0.03 	0.0069
381	13.26	 0.19 	0.0053
382	12.7	 0.24 	0.0041
383	22.58	 0.30 	0.0037
384	19.86	 0.07 	0.0045
385	8.9	 0.02 	0.0029
386	24.28	 0.08 	0.0093
387	13.55	 0.04 	0.0037
388	8.65	 0.04 	0.0049
389	3.4	 0.25 	0.0019
390	22.05	 0.04 	0.0059
391	20.98	 0.26 	0.0049
392	21.26	 0.22 	0.0007
393	2.59	 0.36 	0.0005
394	21.77	 0.32 	0.0014
395	17.66	 0.18 	0.0068
396	5.01	 0.36 	0.0027
397	14.17	 0.31 	0.0042
398	4.15	 0.19 	0.0071
399	11.27	 0.37 	0.0076
400	6.16	 0.30 	0.0021
401	7.46	 0.33 	0.0076
402	8.37	 0.33 	0.0084
403	21.24	 0.39 	0.0023
404	10	 0.37 	0.0007
405	21.68	 0.37 	0.0072
406	4.29	 0.35 	0.0077
407	20.83	 0.22 	0.0078
408	12.47	 0.07 	0.0081
409	0.4	 0.25 	0.0017
410	15.16	 0.13 	0.0095
411	15.32	 0.36 	0.0035
412	20.3	 0.15 	0.0087
413	22.85	 0.28 	0.0091
414	2.15	 0.23 	0.0097
415	22.73	 0.38 	0.0083
416	22.63	 0.03 	0.0015
417	23.48	 0.40 	0.0079
418	2.23	 0.21 	0.0055
419	1.38	 0.38 	0.0096
420	16.04	 0.18 	0.0072
421	17.37	 0.32 	0.0063
422	4.09	 0.03 	0.0002
423	9.84	 0.28 	0.0071
424	0.88	 0.38 	0.0049
425	24.91	 0.35 	0.0075
426	15.98	 0.21 	0.0073
427	16.38	 0.33 	0.0079
428	15.55	 0.14 	0.0039
429	12.22	 0.01 	0.0003
430	0.91	 0.39 	0.0022
431	12.92	 0.33 	0.0037
432	14.55	 0.06 	0.0007
433	8.76	 0.02 	0.0015
434	16.71	 0.13 	0.0036
435	13.01	 0.31 	0.0093
436	18.33	 0.13 	0.0079
437	9.93	 0.13 	0.0008
438	22.13	 0.25 	0.0018
439	5.31	 0.02 	0.001
440	23.31	 0.08 	0.0058
441	0.87	 0.38 	0.006
442	7.52	 0.32 	0.0075
443	12.35	 0.30 	0.0056
444	17.93	 0.33 	0.0064
445	14.02	 0.38 	0.005
446	11.96	 0.36 	0.0044
447	2.86	 0.18 	0.0088
448	12.56	 0.23 	0.0007
449	16.34	 0.18 	0.0063
450	3.94	 0.36 	0.0088
451	16.18	 0.24 	0.0066
452	9	 0.27 	0.0094
453	10.55	 0.26 	0.0045
454	12.74	 0.08 	0.0029
455	13.42	 0.16 	0.0099
456	7.85	 0.12 	0.0062
457	20.62	 0.31 	0.0071
458	8.74	 0.24 	0.0093
459	22.31	 0.27 	0.0086
460	18.03	 0.39 	0.0018
461	9.26	 0.12 	0.0061
462	16.42	 0.05 	0.0029
463	17.44	 0.07 	0.0044
464	13.68	 0.06 	0.0045
465	0.87	 0.16 	0.0072
466	11.86	 0.22 	0.0086
467	7.23	 0.20 	0.0084
468	3.76	 0.22 	0.0031
469	19.91	 0.09 	0.0079
470	19.8	 0.39 	0.0099
471	20	 0.14 	0.0071
472	24.13	 0.03 	0.0013
473	7.55	 0.13 	0.009
474	5.89	 0.06 	0.0053
475	23.96	 0.37 	0.0017
476	13.42	 0.29 	0.0066
477	15.49	 0.38 	0.0048
478	15.55	 0.10 	0.0027
479	20.51	 0.39 	0.0037
480	4.65	 0.33 	0.0012
481	22.71	 0.03 	0.0004
482	2.05	 0.10 	0.0001
483	16.56	 0.02 	0.0015
484	24.01	 0.36 	0.0058
485	23.02	 0.09 	0.0006
486	8.97	 0.32 	0.0018
487	13.88	 0.40 	0.006
488	18.85	 0.16 	0.0011
489	21.34	 0.25 	0.0074
490	6.59	 0.12 	0.0076
491	23.48	 0.18 	0.0042
492	18.09	 0.13 	0.0012
493	24.38	 0.23 	0.0003
494	8.36	 0.39 	0.0001
495	18.87	 0.29 	0.0092
496	21.33	 0.20 	0.0018
497	4.94	 0.01 	0.0046
498	9.45	 0.04 	0.0035
499	12.8	 0.24 	0.0006
500	24.25	 0.30 	0.0027
501	7.77	 0.05 	0.0047
502	10.42	 0.03 	0.0001
503	16.48	 0.29 	0.0047
504	19.35	 0.03 	0.009
505	21.98	 0.05 	0.0061
506	13.6	 0.35 	0.0047
507	7.29	 0.16 	0.004
508	10.15	 0.01 	0.0045
509	5.39	 0.22 	0.0032
510	21.44	 0.18 	0.0037
511	23.4	 0.29 	0.005
512	5.89	 0.36 	0.0056
513	20.24	 0.35 	0.0045
514	9.5	 0.40 	0.0003
515	3.37	 0.26 	0.0053
516	24.77	 0.02 	0.0082
517	0.22	 0.30 	0.0077
518	14.57	 0.00 	0.0001
519	2.24	 0.37 	0.0011
520	23.54	 0.21 	0.0026
521	18.04	 0.38 	0.0081
522	9.49	 0.37 	0.0081
523	10.65	 0.11 	0.0046
524	7.22	 0.01 	0.0058
525	8	 0.02 	0.0042
526	2.07	 0.33 	0.0029
527	2.12	 0.10 	0.003
528	11.5	 0.16 	0.0043
529	13.47	 0.27 	0.0012
530	20.43	 0.19 	0.0059
531	7.35	 0.35 	0.0037
532	3.85	 0.05 	0.0089
533	23.62	 0.15 	0.0021
534	7.2	 0.33 	0.0041
535	16	 0.34 	0.002
536	1.11	 0.32 	0.0014
537	18.71	 0.36 	0.0094
538	19.4	 0.14 	0.0063
539	4.83	 0.23 	0.0018
540	3.15	 0.31 	0.0048
541	8.79	 0.13 	0.0053
542	10.49	 0.39 	0.0071
543	20.23	 0.13 	0.0002
544	11.53	 0.07 	0.0022
545	7.18	 0.31 	0.0018
546	21.12	 0.20 	0.0027
547	2.62	 0.06 	0.0026
548	1.96	 0.10 	0.0093
549	10.32	 0.07 	0.0008
550	6.69	 0.35 	0.0012
551	6.46	 0.39 	0.0082
552	5.58	 0.10 	0.0022
553	5.91	 0.40 	0.0068
554	2.13	 0.14 	0.0051
555	1.12	 0.30 	0.0007
556	12.7	 0.01 	0.0058
557	14.31	 0.07 	0.0039
558	13.02	 0.08 	0.0091
559	20.87	 0.03 	0.0052
560	24.51	 0.29 	0.0018
561	14.89	 0.33 	0.0075
562	22.45	 0.32 	0.0042
563	22.72	 0.08 	0.0003
564	14.06	 0.10 	0.004
565	12.43	 0.14 	0.0086
566	8.95	 0.07 	0.0045
567	15.76	 0.19 	0.0087
568	17.78	 0.31 	0.0009
569	12.6	 0.00 	0.0075
570	5.85	 0.08 	0.0046
571	21.79	 0.36 	0.0095
572	13.62	 0.40 	0.0089
573	14.97	 0.02 	0.0083
574	5.5	 0.09 	0.0078
575	13.66	 0.35 	0.0088
576	15.63	 0.02 	0.002
577	8.17	 0.39 	0.0016
578	18.91	 0.21 	0.004
579	22.32	 0.22 	0.0063
580	14.23	 0.01 	0.0002
581	15.65	 0.11 	0.0066
582	24.99	 0.33 	0.001
583	12.15	 0.32 	0.0053
584	17.66	 0.23 	0.0019
585	4.01	 0.38 	0.0016
586	19.36	 0.03 	0.0032
587	2.14	 0.13 	0.0089
588	1.39	 0.09 	0.0033
589	9.61	 0.11 	0.0057
590	7.43	 0.22 	0.0063
591	15.2	 0.35 	0.0074
592	8.56	 0.31 	0.009
593	6.31	 0.17 	0.0026
594	20.51	 0.23 	0.0067
595	2.83	 0.40 	0.005
596	19.55	 0.21 	0.0026
597	23.26	 0.25 	0.0088
598	6.74	 0.22 	0.0093
599	10.15	 0.14 	0.0036
600	15.94	 0.39 	0.0034
601	2.22	 0.05 	0.0014
602	3.32	 0.25 	0.0036
603	12.34	 0.38 	0.0019
604	18.92	 0.17 	0.0061
605	7.98	 0.19 	0.0035
606	22.43	 0.11 	0.002
607	22.84	 0.34 	0.0004
608	22.94	 0.32 	0.0099
609	2.88	 0.37 	0.0086
610	1.26	 0.31 	0.0019
611	10.7	 0.07 	0.0083
612	24.99	 0.28 	0.0085
613	15.68	 0.01 	0.0077
614	10.69	 0.32 	0.0028
615	14.59	 0.40 	0.0032
616	20.32	 0.00 	0.0099
617	2.19	 0.15 	0.0026
618	19.88	 0.08 	0.0059
619	11.73	 0.37 	0.0028
620	6.01	 0.05 	0.0045
621	23.58	 0.24 	0.0051
622	23.83	 0.20 	0.0001
623	23.15	 0.29 	0.0041
624	15.41	 0.29 	0.0078
625	7.2	 0.17 	0.0087
626	1.56	 0.40 	0.0021
627	1.5	 0.31 	0.0033
628	23.77	 0.10 	0.0067
629	3.52	 0.19 	0.0018
630	6.64	 0.32 	0.0029
631	10.35	 0.02 	0.0038
632	14.27	 0.02 	0.0031
633	5.41	 0.19 	0.0027
634	4.08	 0.11 	0.0057
635	24.93	 0.40 	0.009
636	22.98	 0.35 	0.0021
637	1.3	 0.37 	0.0026
638	18.38	 0.09 	0.0039
639	0	 0.09 	0.0075
640	7.83	 0.24 	0.0084
641	9.97	 0.05 	0.0035
642	7.13	 0.23 	0.0037
643	13.02	 0.31 	0.0096
644	23.3	 0.34 	0.0044
645	6.8	 0.28 	0.0053
646	14.87	 0.17 	0.0058
647	22.26	 0.32 	0.0081
648	12.31	 0.36 	0.0024
649	3.97	 0.36 	0.0076
650	22.04	 0.17 	0.0058
651	20.76	 0.04 	0.01
652	16.64	 0.39 	0.0011
653	8.03	 0.02 	0.0005
654	18.6	 0.37 	0.0059
655	10.22	 0.06 	0.0094
656	3.91	 0.11 	0.0071
657	20.98	 0.20 	0.0051
658	14.78	 0.28 	0.0012
659	13.96	 0.24 	0.0058
660	14.59	 0.34 	0.0068
661	21.5	 0.09 	0.0073
662	1.14	 0.30 	0.0048
663	16.39	 0.02 	0.0096
664	6.42	 0.06 	0.0096
665	2.4	 0.03 	0.0003
666	20.78	 0.20 	0.0055
667	22.66	 0.29 	0.0071
668	24.74	 0.03 	0.0038
669	3.93	 0.01 	0.0021
670	21.43	 0.37 	0.0042
671	22.91	 0.21 	0.0079
672	0.86	 0.20 	0.0043
673	0.06	 0.03 	0.0087
674	12.8	 0.24 	0.0083
675	2.57	 0.40 	0.0042
676	17.85	 0.03 	0.0062
677	12.15	 0.39 	0.0071
678	1.4	 0.02 	0.002
679	1.31	 0.39 	0.0047
680	18.73	 0.37 	0.0001
681	1.59	 0.12 	0.002
682	7.71	 0.08 	0.0045
683	18.51	 0.18 	0.0089
684	21.6	 0.24 	0.009
685	5.46	 0.21 	0.0051
686	20.62	 0.07 	0.0088
687	6.07	 0.24 	0.0067
688	9.08	 0.15 	0.0051
689	18.08	 0.06 	0.0082
690	20.78	 0.20 	0.0023
691	8.05	 0.03 	0.0026
692	17.38	 0.30 	0.0083
693	7.04	 0.08 	0.0069
694	17.03	 0.08 	0.0007
695	12.17	 0.39 	0.0092
696	19.65	 0.29 	0.0098
697	12.67	 0.17 	0.0036
698	9.55	 0.15 	0.0098
699	10.6	 0.06 	0.0043
700	7.85	 0.21 	0.0082
701	17.87	 0.31 	0.0033
702	17.14	 0.28 	0.0064
703	24.95	 0.17 	0.0018
704	6.03	 0.29 	0.0095
705	8.26	 0.23 	0.0083
706	12.74	 0.37 	0.0099
707	6.52	 0.20 	0.0067
708	9.84	 0.35 	0.0051
709	15.11	 0.24 	0.0045
710	24.68	 0.36 	0.003
711	5.96	 0.20 	0.0013
712	1.92	 0.37 	0.001
713	16.03	 0.39 	0.0077
714	2.27	 0.38 	0.0034
715	15.86	 0.40 	0.0009
716	19.72	 0.16 	0.0014
717	3.33	 0.31 	0.0013
718	5.03	 0.33 	0.0006
719	3.14	 0.15 	0.0059
720	4.53	 0.11 	0.006
721	1.27	 0.37 	0.0099
722	19.85	 0.22 	0.0098
723	16.3	 0.32 	0.0024
724	5.01	 0.27 	0.0005
725	21.5	 0.26 	0.0065
726	0.13	 0.18 	0.0063
727	8.97	 0.03 	0.0047
728	17.51	 0.29 	0.0097
729	11.12	 0.24 	0.0057
730	2.87	 0.08 	0.005
731	2.37	 0.12 	0.0093
732	0.78	 0.24 	0.0009
733	14.09	 0.28 	0.0005
734	21.78	 0.00 	0.0056
735	10.47	 0.19 	0.0066
736	12.12	 0.00 	0.0049
737	18.47	 0.25 	0.0014
738	0.77	 0.31 	0.0069
739	14.79	 0.05 	0.0023
740	22.3	 0.04 	0.0076
741	17.04	 0.28 	0.006
742	22.59	 0.29 	0.0059
743	9.42	 0.15 	0.0097
744	23.44	 0.26 	0.0089
745	0.96	 0.37 	0.0019
746	17.72	 0.33 	0.0064
747	2.38	 0.04 	0.0072
748	19.49	 0.39 	0.0076
749	24.88	 0.18 	0.0025
750	24.52	 0.30 	0.0058
751	1.56	 0.29 	0.0056
752	23.45	 0.31 	0.0059
753	24.07	 0.08 	0.0093
754	7.27	 0.20 	0.0027
755	7.38	 0.16 	0.0041
756	18.62	 0.25 	0.0036
757	2.61	 0.34 	0.0059
758	7.53	 0.08 	0.009
759	6.15	 0.04 	0.0062
760	3.7	 0.28 	0.0063
761	1.38	 0.03 	0.0059
762	22.57	 0.39 	0.0061
763	9.85	 0.07 	0.0097
764	21.95	 0.01 	0.0005
765	14.38	 0.11 	0.0014
766	15	 0.10 	0.0042
767	20.61	 0.05 	0.009
768	3.81	 0.39 	0.0018
769	7.42	 0.11 	0.0048
770	22.31	 0.36 	0.0094
771	4.63	 0.22 	0.001
772	1.19	 0.33 	0.0083
773	12.97	 0.23 	0.0069
774	23.41	 0.30 	0.0002
775	20.66	 0.39 	0.0083
776	6.2	 0.33 	0.0075
777	4.17	 0.33 	0.0033
778	11.45	 0.28 	0.003
779	14.4	 0.18 	0.0069
780	3.12	 0.33 	0.0012
781	2.59	 0.01 	0.0005
782	16.89	 0.31 	0.0035
783	1.72	 0.06 	0.0071
784	7.54	 0.26 	0.0031
785	24.77	 0.15 	0.0071
786	22.83	 0.14 	0.0004
787	11.89	 0.20 	0.0055
788	19.87	 0.08 	0.0081
789	8.65	 0.26 	0.0067
790	10.4	 0.22 	0.0022
791	5.1	 0.11 	0.003
792	24.83	 0.15 	0.0093
793	23.9	 0.08 	0.0074
794	19.55	 0.04 	0.0028
795	5.36	 0.15 	0.0026
796	22.67	 0.39 	0.002
797	7.66	 0.09 	0.0081
798	4.88	 0.10 	0.0006
799	13.56	 0.20 	0.001
800	9.1	 0.29 	0.0052
801	22.9	 0.36 	0.0083
802	18.09	 0.25 	0.0039
803	0.95	 0.27 	0.0002
804	4	 0.20 	0.005
805	17.47	 0.37 	0.0007
806	11.45	 0.13 	0.0035
807	19.27	 0.11 	0.0028
808	14.98	 0.30 	0.0089
809	8.41	 0.38 	0.004
810	19.76	 0.29 	0.0067
811	10.23	 0.19 	0.0094
812	1.7	 0.19 	0.0085
813	0.05	 0.02 	0.0036
814	18.69	 0.33 	0.0022
815	10.85	 0.28 	0.0034
816	11.82	 0.15 	0.0091
817	21.5	 0.29 	0.0065
818	22.28	 0.24 	0.005
819	21.52	 0.35 	0.0051
820	22.34	 0.39 	0.0086
821	15.23	 0.20 	0.0021
822	4.88	 0.20 	0.005
823	23.73	 0.10 	0.0073
824	13.48	 0.01 	0.0058
